"branch_id","addressable_id","address_line_1","address_line_2","address_line_3","city","state","postcode","created_at","updated_at"
"1","1","B-2-16, Jalan PJU 1/43","Aman Suria","","Petaling Jaya","Selangor","47301","2021-01-31 18:17:11","2021-01-31 18:17:11"
"2","2","No.27-1, Jalan Ara SD7/3A","Bandar Sri Damansara","","Kuala Lumpur","Selangor","52200","2020-10-20 06:17:22","2020-11-22 14:55:38"
"3","3","No.24-1, Jalan 1/149D","Bandar Baru Sri Petaling","","Kuala Lumpur","Kuala Lumpur","57000","2020-10-20 06:19:12","2020-12-09 23:18:52"
"6","6","01-03, Maxim Alam Damai","No.43 Jalan 9, Taman Len Seng","","Cheras","Kuala Lumpur","56000","2020-10-20 06:22:41","2020-12-09 23:17:37"
"8","8","No.38-1, Lorong Aman 2A","","","Sibu","Sarawak","96000","2020-11-22 14:46:54","2020-11-22 14:46:54"
"9","9","2D-1-1, Jalan Lang Kuning","Kepong Baru","","Kepong","Kuala Lumpur","52200","2020-11-30 23:51:43","2020-12-09 23:17:25"
"10","10","16A Jalan Bougainvillea A/3","Seri Bougainvillea","Bandar Seri Botani","Ipoh","Perak","31350","2020-11-30 23:53:15","2020-12-09 23:17:06"
"12","12","305, 1st Floor, Jalan S2 B13","Uptown Avenue, Seremban 2","","Seremban","Negeri Sembilan","70300","2020-11-30 23:56:47","2020-12-09 23:16:30"
"13","13","27-2, Jalan C180/1","Dataran C180","","Cheras","Selangor","43200","2021-03-14 14:51:47","2021-03-14 14:51:47"
"14","14","C9-3, Bay Avenue","Lorang Bayan Indah 3","","Bayan Lepas","Pulau Pinang","11900","2022-09-24 21:20:20","2022-09-24 21:20:20"
"15","15","Test 1","Test 2","","Test 3","Kelantan","50000","2022-09-24 21:30:58","2022-09-24 21:30:58"
"16","16","No.35-1, Jalan USJ 10/1E","Taipan Business Centre","","Subang Jaya","Selangor","47620","2023-02-13 16:30:09","2023-02-13 16:30:09"
"17","17","6-3-1, JALAN SETIA ALAM PRIMA B U13/B","SETIA ALAM SEKSYEN U13","","SHAH ALAM","Selangor","40170","2023-07-20 21:00:45","2023-07-20 21:00:45"
"18","18","No.21-2 (1st Floor), Jalan Eco Majestic 10/1C","Eco Majestic","","Semenyih","Selangor","43500","2023-07-20 21:04:40","2023-09-12 22:12:28"
"19","19","No.39, 1st Floor, Jalan Kasawari 21/7","Taman Sungai Abong Perm 2","","Muar","Johor","84000","2023-09-12 22:10:54","2023-09-12 22:10:54"
"20","20","NO. 139, 1ST FLOOR","LORONG 22/SS1","BANDAR TASEK MUTIARA","SIMPANG AMPAT","Pulau Pinang","14120","2023-10-12 15:26:15","2023-10-12 15:26:15"
"21","21","27-2, Persiaran Seri Impian,","Pusat Perniagaan Mahkota Impian,","","Bukit Mertajam","Pulau Pinang","14000","2023-10-12 15:28:11","2023-10-12 15:28:11"
"22","22","44-2, Jalan Kasuarina 6","Bandar Botanic","","Klang","Selangor","41200","2023-12-09 22:11:36","2023-12-09 22:11:36"
"23","23","77-G, Jalan S2 D34","City Centre Seremban 2","","Seremban","Negeri Sembilan","70300","2023-12-09 22:13:10","2023-12-09 22:13:10"
"24","24","No. 8-02, Jalan Austin Heights 8/7","Taman Mount Austin","","Johor Bahru","Johor","81100","2023-12-09 22:17:23","2023-12-09 22:17:23"
"25","25","17B, Jalan Sutera Tanjung 8/2,","Taman Sutera Utama Skudai,","","Johor Bahru","Johor","81300","2024-03-18 21:42:08","2024-03-18 21:42:08"
"26","26","Lot 6728 (Block 2) Block 225 KNLD,","Commercial Shop Of, Pine Square,","Plot 5, 2nd Floor, Jalan Batu Kawan,","Kuching","Sarawak","93250","2024-03-18 21:44:37","2024-03-18 21:44:37"
"27","27","Plot No.5 Lot 6728 Block 225","Kuching North District","Jalan Batu Kawa","Kuching","Sarawak","93250","2024-04-05 21:10:34","2024-04-05 21:10:34"
"28","28","40-1, PLAZA CRYSTALVILLE,","JALAN DANAU NIAGA 1,","TAMAN DANAU KOTA","SETAPAK","Kuala Lumpur","53300","2024-06-12 14:36:57","2024-06-12 14:36:57"
"29","29","A-2-93 KINRARA NIAGA 2","JALAN BK5A/2","BANDAR KINRARA","PUCHONG","Selangor","47180","2024-08-01 09:55:27","2024-08-01 09:55:27"
"30","30","Lot 3546, 2nd Floor","Al-Bayt Square (Miri 101)","MCLD, Jln Miri Pujut","MIRI","Sarawak","98000","2024-08-12 21:10:20","2024-08-13 09:45:46"
"31","31","UNIT E-01-02 BLOCK E,","CBD PERDANA 3, JALAN PERDANA,","CYBER 12","CYBERJAYA","Selangor","63000","2024-09-07 13:10:03","2024-09-11 09:37:06"
"32","32","10A, Jalan Horizon Perdana 6,","Horizon Hills","","Iskandar Puteri","Johor","79100","2024-09-17 09:14:14","2024-09-17 09:14:14"
"33","33","SHOPLOT 11 (8362), 1ST FLOOR BINTULU SENTRAL PHASE 2","JALAN TG. KIDURONG","","BINTULU","Sarawak","97000","2024-11-18 08:03:40","2024-11-18 08:03:40"
"4","4","9-3, No.8 Jalan Anggerik Vanilla BE31/BE,","Kota Kemuning, Section 31,","","Shah Alam","Selangor","40460","2020-10-20 06:20:12","2020-10-20 06:20:12"
"5","5","B-2-16, Jalan PJU 1/43","Aman Suria","","Petaling Jaya","Selangor","47301","2020-10-20 06:21:14","2020-12-09 23:17:46"
"7","7","No.22-2, Persiaran Puteri 1","Bandar Puteri Puchong","","Puchong","Selangor","47100","2020-10-20 06:23:44","2020-12-09 23:17:30"
"11","11","1st Floor of Sublot 5, Survey Lot 19544","Block 2 of Parents Lots 9192-9194","Block 11 Muara Tebas Land District","\"Saradise Kuching\" Kuching","Sarawak","93350","2020-11-30 23:55:34","2020-12-09 23:16:51"
