"id","theme_id","name","display_name","order","created_at","updated_at"
"289","73","focus","Focus","1","2025-01-01 12:00:25","2025-01-01 12:00:25"
"290","73","helpful","Helpful","2","2025-01-01 12:00:25","2025-01-01 12:00:25"
"291","73","discipline","Discipline","3","2025-01-01 12:00:25","2025-01-01 12:00:25"
"292","73","recap","Recap","4","2025-01-01 12:00:25","2025-01-01 12:00:25"
"293","74","concentrating","Concentrating","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"294","74","patterning","Concentrating","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"295","74","measuring","Measuring","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"296","74","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"297","75","curiosity","Curiosity","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"298","75","following-steps","Following Steps","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"299","75","recording-data","Recording Data","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"300","75","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"301","76","introducing","Introducing","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"302","76","categorizing","Categorizing","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"303","76","linking","Linking","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"304","76","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"305","77","passion","Passion","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"306","77","giving-instruction","Giving Instruction","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"307","77","celebration","Celebration","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"308","77","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"309","78","pacing","Pacing","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"310","78","flexibility","Flexibility","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"311","78","posing-stance","Posing Stance","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"312","78","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"313","79","politeness","Politeness","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"314","79","cleanliness","Cleanliness","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"315","79","attentiveness","Attentiveness","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"316","79","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"317","80","careful","Careful","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"318","80","peaceful","Peaceful","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"319","80","observation","Observation","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"320","80","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"321","81","charming","Charming","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"322","81","walking-posture","Walking Posture","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"323","81","posing-stance","Posing Stance","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"324","81","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"325","82","patience","Patience","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"326","82","humility","Humility","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"327","82","encouragement","Encouragement","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"328","82","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"329","83","bravery","Bravery","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"330","83","synergy","Synergy","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"331","83","healthy","Healthy","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"332","83","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"333","84","cultivating","Cultivating","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"334","84","tending","Tending","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"335","84","fertilizing","Fertilizing","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"336","84","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"337","85","character","Character","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"338","85","speaking-dialogue","Speaking Dialogue","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"339","85","facial-expression","Facial Expression","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"340","85","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"341","86","cheerful","Cheerful ","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"342","86","hand-gesture","Hand Gesture","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"343","86","caring-action","Caring Action ","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"344","86","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"345","87","define","Define","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"346","87","solve","Solve","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"347","87","communicate","Communicate","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"348","87","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"349","88","stamina","Stamina","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"350","88","musical-sense","Musical Sense","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"351","88","dance-movement","Dance Movement","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"352","88","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"353","89","friendly-communication","Friendly Communication","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"354","89","demonstration","Demonstration","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"355","89","answering-question","Answering Question","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"356","89","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"357","90","voice-expression","Voice Expression","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"358","90","humour","Humour","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"359","90","promptness","Promptness","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"360","90","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"361","91","identifying","Identifying","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"362","91","capturing-moments","Capturing Moments","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"363","91","giving-suggestion","Giving Suggestion","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"364","91","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"365","92","analytical-ability","Analytical Ability","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"366","92","critical-response","Critical Response","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"367","92","mellow-voice","Mellow Voice","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"368","92","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"369","93","space-arrangement","Space Arrangement","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"370","93","decorative","Decorative","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"371","93","game-master","Game Master","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"372","93","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"373","94","courtesy-reply","Courtesy Reply","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"374","94","interesting-expression","Interesting Expression","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"375","94","team-leading","Team Leading","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"376","94","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"377","95","art-techniques","Art Techniques","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"378","95","colour-sensation","Colour Sensation","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"379","95","explaining-artwork","Explaining Artwork","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"380","95","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"381","96","investigate","Investigate","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"382","96","innovative","Innovative","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"383","96","desire-expression","Desire Expression","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"384","96","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"385","97","geomerty-skils-sense-of-construction","Geomery & Skills & Sense of Construction","1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"386","97","visualisation-drafting","Visualisation & Drafting","2","2025-01-01 12:00:27","2025-01-01 12:00:27"
"387","97","impress-design-construction-abilities","Impress Design & Construction Abilities","3","2025-01-01 12:00:27","2025-01-01 12:00:27"
"388","97","recap","Recap","4","2025-01-01 12:00:27","2025-01-01 12:00:27"
"389","98","liveliness-formality","Liveliness & Formality","1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"390","98","manage-react-spontaneously","Manage & React Spontaneously","2","2025-01-01 12:00:27","2025-01-01 12:00:27"
"391","98","challenge-day-emcee","Challenge Day Emcee","3","2025-01-01 12:00:27","2025-01-01 12:00:27"
"392","98","recap","Recap","4","2025-01-01 12:00:27","2025-01-01 12:00:27"
"393","99","take-command-stay-calm","Take Command & Stay Calm","1","2025-01-01 12:00:56","2025-01-01 12:00:56"
"394","99","professional-language-prompt-decisions","Professional Language & Prompt Decisions","2","2025-01-01 12:00:56","2025-01-01 12:00:56"
"395","99","captain-pilot","Captain Pilot","3","2025-01-01 12:00:56","2025-01-01 12:00:56"
"396","99","recap","Recap","4","2025-01-01 12:00:56","2025-01-01 12:00:56"
"397","100","plan-execute","Plan & Execute","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"398","100","grit-resilience","Grit & Resilience","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"399","100","successful-entrepreneur","Successful Entrepreneur","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"400","100","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"401","101","props-scenes","Props & Scenes","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"402","101","flow-expression","Flow & Expression ","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"403","101","nominee-of-best-director","Nominee of Best Director ","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"404","101","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"405","102","positive-positioning","Positive Positioning","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"406","102","capture-intriguing-moments-willpower","Capture Intriguing Moments & Willpower","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"407","102","live-broadcasts","Live Broadcasts","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"408","102","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"409","103","ask-express","Ask & Express","1","2025-01-01 12:00:55","2025-01-01 12:00:55"
"410","103","generalize-specify","Generalize & Specify","2","2025-01-01 12:00:55","2025-01-01 12:00:55"
"411","103","live-reporter","Live Reporter","2","2025-01-01 12:00:55","2025-01-01 12:00:55"
"412","103","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"413","104","create-creative-content-engage-audience","Create Creative Content & Engage Audience","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"414","104","interesting-captions-market-oneself","Interesting Captions & Market Oneself","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"415","104","instagram-influencer","Instagram Influencer","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"416","104","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"417","105","investigate-associate","Investigate & Associate","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"418","105","multitasking-proving","Multitasking & Proving","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"419","105","detective","Detective","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"420","105","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"421","106","liveliness-formality","Liveliness & Formality","1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"422","106","manage-react-spontaneously","Manage & React Spontaneously","2","2025-01-01 12:00:27","2025-01-01 12:00:27"
"423","106","challenge-day-emcee-practice","Challenge Day Emcee Practice","3","2025-01-01 12:00:27","2025-01-01 12:00:27"
"424","106","recap","Recap","4","2025-01-01 12:00:27","2025-01-01 12:00:27"
"425","107","research-reason","Research & Reason ","1","2025-01-01 12:00:26","2025-01-01 12:00:26"
"426","107","evidences-persuasive","Evidences & Persuasive ","2","2025-01-01 12:00:26","2025-01-01 12:00:26"
"427","107","lawyer-in-court","Lawyer in Court","3","2025-01-01 12:00:26","2025-01-01 12:00:26"
"428","107","recap","Recap","4","2025-01-01 12:00:26","2025-01-01 12:00:26"
"429","108","optimistic-motivated","Optimistic & Motivated","1","2025-01-01 12:00:27","2025-01-01 12:00:27"
"430","108","active-listening-questioning","Active Listening & Questioning","2","2025-01-01 12:00:27","2025-01-01 12:00:27"
"431","108","gold-medalist-winner","Gold Medalist Winner","3","2025-01-01 12:00:27","2025-01-01 12:00:27"
"432","108","recap","Recap ","4","2025-01-01 12:00:27","2025-01-01 12:00:27"